                                        ================
                                        col     min_w   max_w   numeric_abs_max
w2sigm_6                decimal(4,3)    116     0       5       0.543
w2flg_6                 integer         117     0       2       32
w3mag_6                 decimal(5,3)    118     0       6       26.558
w3sigm_6                decimal(4,3)    119     0       5       0.543
w3flg_6                 integer         120     0       2       32
w1mag_7                 decimal(5,3)    121     0       6       26.739
w1sigm_7                decimal(4,3)    122     0       5       0.543
w1flg_7                 integer         123     0       2       32
w2mag_7                 decimal(5,3)    124     0       6       26.773
w2sigm_7                decimal(4,3)    125     0       5       0.543
w2flg_7                 integer         126     0       2       32
w3mag_7                 decimal(5,3)    127     0       6       26.481
w3sigm_7                decimal(4,3)    128     0       5       0.543
w3flg_7                 integer         129     0       2       32
w1mag_8                 decimal(5,3)    130     0       6       26.73
w1sigm_8                decimal(4,3)    131     0       5       0.543
w1flg_8                 integer         132     0       2       32
w2mag_8                 decimal(5,3)    133     0       6       26.724
w2sigm_8                decimal(4,3)    134     0       5       0.543
w2flg_8                 integer         135     0       2       32
w3mag_8                 decimal(5,3)    136     0       6       26.418
w3sigm_8                decimal(4,3)    137     0       5       0.543
w3flg_8                 integer         138     0       2       32
w1nm                    integer         139     0       3       252
w1m                     integer         140     0       3       686
w1magp                  decimal(5,3)    141     0       6       29.997
w1sigp1                 decimal(5,3)    142     0       5       10
w1sigp2                 decimal(5,3)    143     0       5       7.071
w1dmag                  decimal(5,3)    144     0       6       14.247
w1ndf                   integer         145     1       3       684
w1mlq                   integer         146     0       1       9
w1mjdmin                decimal(13,8)   147     0       14      55468.77559948
w1mjdmax                decimal(13,8)   148     0       14      55468.77750955
w1mjdmean               decimal(13,8)   149     0       14      55468.77559948
w2nm                    integer         150     0       3       270
w2m                     integer         151     0       3       685
w2magp                  decimal(5,3)    152     0       6       29.999
w2sigp1                 decimal(5,3)    153     0       5       10
w2sigp2                 decimal(5,3)    154     0       5       7.071
w2dmag                  smallfloat      155     0       13      13.474
w2ndf                   integer         156     1       3       684
w2mlq                   integer         157     0       1       9
w2mjdmin                decimal(13,8)   158     0       14      55468.77559948
w2mjdmax                decimal(13,8)   159     0       14      55468.77750955
w2mjdmean               decimal(13,8)   160     0       14      55468.77559948
w3nm                    integer         161     0       3       295
w3m                     integer         162     0       3       582
w3magp                  decimal(5,3)    163     0       6       29.485
w3sigp1                 decimal(5,3)    164     0       5       10
w3sigp2                 decimal(5,3)    165     0       5       7.071
w3dmag                  smallfloat      166     0       13      14.7089996
w3ndf                   integer         167     0       3       581
w3mlq                   integer         168     0       1       9
w3mjdmin                decimal(13,8)   169     0       14      55468.77547212
w3mjdmax                decimal(13,8)   170     0       14      55468.77750955
